Entity;Code;Year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Kyrgyzstan;KGZ;2000;;;;;;;;;;;86.25079;83.91275;83.17757;87.336815;87.02432;86.47541;86.4846;86.48834;86.45384;92.58241;92.20452;93.582886;93.787575;93.7951;91.643456;85.859375;87.269936;91.95553;92.61438;92.385445;91.52752
Cambodia;KHM;2000;;;;;;;;;;;10.638298;5.882353;4.347826;5.633803;3.9473684;4.4444447;11.711712;11.347518;11.510792;12.820514;12.903226;18.181818;62.773724;72.83237;65.55184;50.704227;51.749542;45.34712;62.81407;53.372787;54.674557
Kiribati;KIR;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
South Korea;KOR;1990;48.599632;45.433475;40.71972;38.52278;33.266888;34.410114;33.985455;32.435402;39.643097;40.93823;39.47967;37.935047;37.426937;39.565655;37.21004;38.863274;38.225685;35.01167;35.413933;34.14537;31.428331;31.987608;30.572289;28.437191;31.803883;33.61921;32.75376;30.913393;27.83133;30.772005;33.800594
Kuwait;KWT;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017442875;0.016329195;0.01557875;0.030372059;0.058479533;0.08615738;0.08509431;0.074693754
Laos;LAO;2000;;;;;;;;;;;90.35812;90.41096;90.42254;90.41533;100;100;100;100;100;100;100;100;100;100;100;87.14909;70.70344;66.84211;68.12111;66.612114;74.13442
Lebanon;LBN;2000;;;;;;;;;;;4.787813;3.448276;6.0633483;11.259383;9.414759;8.8586035;6.30137;5.0966606;2.9435165;4.7765794;5.6043215;5.2049446;6.495177;7.150901;1.3002363;2.9026752;2.5164113;2.5948102;2.3453093;5.5009823;6.208312
Liberia;LBR;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59.55056
Libya;LBY;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0.03266906;0.04091653;0.031036623;0.028058361;0.028192839;0.028352708;0.033863865;0.03196931;0.031133251;0.031555694;0.03322259
Saint Lucia;LCA;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sri Lanka;LKA;1990;99.841255;92.286285;81.92502;95.40805;93.21542;94.03553;71.818214;67.016136;68.98116;66.56838;49.14729;47.32006;39.411762;44.129555;37.309643;38.409855;45.897743;41.430073;43.243244;40.998962;54.44976;42.180515;30.606861;61.234993;40.685043;49.842766;34.185535;31.245747;47.058823;35.934547;38.1258
Lesotho;LSO;2000;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Lithuania;LTU;1990;61.495064;59.120354;80.679985;90.94177;83.86434;90.363235;88.08642;85.85367;81.69591;78.87865;79.41977;81.80546;84.4898;84.72669;83.5845;75.94936;76.49537;78.68481;80.13751;80.2366;19.157894;27.81955;27.441858;38.44221;43.641617;42;61.583572;75.52239;80;78.662415;56.73289
Luxembourg;LUX;1990;12.903226;12.857143;12.121212;11.940298;18.644068;22.448978;17.777779;24.390242;40.540543;36.11111;40;19.54023;5.3571434;5.0179214;5.6379824;6.2686567;7.062147;8.15047;10.294118;8.571429;8.333334;9.090909;11.231884;19.565218;20.94241;32.08955;58.227848;66.66667;70.833336;74.76635;79.508194
Latvia;LVA;1990;67.669174;58.053097;65.625;73.28244;74.549545;73.68421;59.615387;65.410194;74.482765;67.15328;68.115944;66.276344;62.468513;58.942062;68.23028;69.51219;57.055218;59.243694;60.910816;63.913822;54.90196;50.57471;66.61264;56.935486;54.47471;50.180508;54.20561;72.50996;51.934525;49.53416;63.636368
Macao;MAC;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Morocco;MAR;1990;12.671375;13.318849;9.918716;4.470232;7.3234525;5.0529275;15.60855;15.324062;13.70296;6.3978286;6.3478975;7.535212;6.794195;9.951457;10.228572;6.286627;6.0716133;6.153051;6.211813;14.635365;17.343487;10.764306;8.835341;15.646004;13.013699;15.064318;15.55118;14.8652935;19.047619;19.009504;18.290775
Moldova;MDA;2000;;;;;;;;;;;7.3446326;6.382979;6.065858;6.0504203;6.0344825;6.030151;6.0855265;5.9523807;6.322795;5.654281;6.5466447;6.044905;4.655173;6.888889;6.122449;4.470199;4.1025643;6.0483875;5.5762086;6.151142;5.5016184
Madagascar;MDG;2000;;;;;;;;;;;69.230774;59.55056;62.06897;60.606064;57.272724;57.657658;55.752213;60.169495;56.09756;59.349594;53.0303;50.74627;44.117645;43.783783;45.177666;46.116505;44.554455;36.363636;43.171806;45.273632;34.517765
Maldives;MDV;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.9607843;1.754386;1.6393442;3.2258065;4.6875;4.6875;6.557377
Mexico;MEX;1990;27.67541;25.435543;28.049162;28.29024;21.035624;28.244984;28.999657;25.619038;22.102468;25.68622;26.952402;23.785852;21.944904;20.78108;21.271194;22.738472;22.817688;21.355362;25.326805;20.65594;21.568775;21.538681;19.529411;19.510582;23.005617;21.35088;20.869911;21.495113;21.71556;21.969315;24.594496
North Macedonia;MKD;1990;8.521739;14.731369;14.003295;10.03861;11.616161;13.0505705;12.801205;13.372957;15.31915;20.26239;17.180616;9.89011;12.479474;20.356611;22.222223;21.46974;23.537802;15.538462;13.312203;18.6217;33.471073;21.153845;16.613419;26.108374;23.977695;35.929203;36.76732;23.035715;34.93761;22.82794;27.715355
Mali;MLI;2000;;;;;;;;;;;64.10257;62.5;63.414635;60.465115;60.869564;62.820515;63.095234;62.650604;63;65.17857;69.005844;65.26316;60.61947;54.385967;63.983055;54.741383;58.483753;50.151978;44.192635;35.240963;36.25
Malta;MLT;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3043479;1.7699115;3.5555556;7.692308;16.27907;10.30303;10.152284;10.144928;11.627907
Myanmar;MMR;2000;;;;;;;;;;;42.973522;45.555557;49;46.84015;48.237476;54.295532;58.557045;61.451614;65.9409;78.4141;71.38964;79.06736;74.414246;73.87017;64.30615;61.068707;57.094025;55.110023;56.319786;46.144123;48.005093
Montenegro;MNE;2005;;;;;;;;;;;;;;;;65.1568;59.322033;59.81308;54.41696;75;68.40796;45.28302;51.929825;63.451775;55.205048;49.666668;58.598724;45.16129;59.210526;56.26822;52.212387
Mongolia;MNG;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0.25575447;0.2538071;1.2315271;1.4051522;1.3245033;2.542373;4.1420116;4.238921;4.681648;4.5289855;7.1544714;9.954058;10.119048
Mozambique;MOZ;2000;;;;;;;;;;;99.68783;99.660446;99.68279;99.53832;99.570076;99.69675;99.726585;99.749374;99.73369;99.76246;99.69789;99.64115;99.60186;98.10683;93.22709;89.48705;84.78143;84.33591;82.52081;80.49172;81.9545
Mauritania;MRT;2000;;;;;;;;;;;13.043478;11.111111;6;8.510638;7.8431373;10;11.111112;10.638298;10.909091;18.965517;18.75;15.662651;15.384615;22.340425;22.448978;28.070175;23.966942;21.854305;25.443787;25.274725;27.118645
Montserrat;MSR;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mauritius;MUS;2000;;;;;;;;;;;16.666668;17.222223;17.837837;18.686869;18.04878;28.971962;15.765765;15.086207;15.226337;19.9187;18.28794;15.384616;13.257575;13.919414;15;17.132868;16.551723;15.151515;17.508417;19.093851;20.80292
Malawi;MWI;2000;;;;;;;;;;;87.90323;88.09524;87.96992;91.11111;89.932884;90.84968;91.02564;91.19497;93.64162;92.39766;93.36735;93.53234;93.77991;93.77991;94.117645;94.117645;93.181816;90.909096;87.80488;88.23529;87.7193
Malaysia;MYS;1990;17.495173;16.756989;13.657898;13.914475;16.307709;13.350653;9.7061615;6.962513;6.9487243;11.078236;10.727969;8.696792;7.2093315;6.6578054;6.4431643;6.7079988;6.7215495;6.208426;7.5778904;7.141625;6.106748;7.5572705;8.03045;9.254791;9.703669;9.952702;13.463135;17.39293;16.59632;16.115656;18.037918
Namibia;NAM;2000;;;;;;;;;;;97.163124;100;100;99.337746;100;97.61905;94.64286;97.5;89.69697;94.55782;96.15385;97.9021;98.15951;95.522385;98.68421;98.07693;95.918365;96.55173;98.581566;97.05882;96.92307
New Caledonia;NCL;2000;;;;;;;;;;;28.66242;22.560976;19.760479;19.27711;20.754717;20.111732;17.514124;23.369564;26.966293;23.497267;15.422886;19.534883;21.100916;21.42857;12.280703;14.909091;9.7972975;14.379086;14;17.197453;13.333333
Niger;NER;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;2.5641026;2.3809524;2.3809524;1.9607843;2;1.8867925;9.259259;8.196721;11.627907
Nigeria;NGA;2000;;;;;;;;;;;40.28269;39.48787;39.477505;38.139534;34.623657;34.17665;28.176043;28.160658;28.152931;23.857597;25.431902;22.706066;20.659342;19.344261;17.45098;18.532944;25.367075;23.550947;24.301413;26.824644;26.067945
Nicaragua;NIC;2000;;;;;;;;;;;20.657276;19.74249;25.555555;31.538464;37.918217;39.534885;37.096775;33.90411;39.130436;32.676056;38.17664;35.79235;42.93059;50.742577;52.413795;50.45045;53.243855;52.511414;54.746136;51.5625;54.75113
Netherlands;NLD;1990;6.016713;5.7373743;6.229721;6.563556;6.5654025;6.71365;7.018779;5.1228557;6.7451587;7.3269386;7.718984;7.802633;8.240209;8.26087;9.028809;11.49679;11.6729145;11.228572;12.756052;13.279324;12.727731;14.4627;15.892111;14.768473;15.248982;16.33272;16.463146;18.012798;19.722027;22.104479;30.002443
Norway;NOR;1990;99.90944;99.891365;99.90599;99.89131;99.75045;99.754364;99.61749;99.682915;99.71628;99.67252;99.77533;99.65335;99.67722;99.474625;99.46354;99.57695;99.430176;99.26438;99.524895;96.63102;95.84045;96.58506;97.98704;97.86148;97.87143;97.90997;97.995;98.025734;97.97288;97.93769;98.57412
Nepal;NPL;2000;;;;;;;;;;;96.4497;98.918915;99.0566;100;99.58159;99.6;99.632355;99.64029;99.64286;99.67638;100;100;99.433426;99.71429;100;100;100;100;100;100;100
Nauru;NRU;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New Zealand;NZL;1990;80.14338;77.339325;72.75511;77.167366;82.148926;83.93446;79.182655;70.287834;75.8403;69.84938;72.01571;64.77184;71.13533;68.0668;73.7235;66.457985;66.7459;67.10681;65.982544;72.75314;74.133575;76.71677;72.78628;75.10031;79.69995;80.57221;84.32332;81.5747;83.58278;82.10454;80.504745
Oman;OMN;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.058858152;0.056385677;0.055478502;0.37856728
Kosovo;OWID_KOS;2000;;;;;;;;;;;1.6891892;1.3404826;1.347709;1.3774104;2.6960785;2.4663677;2.2573364;1.8633541;1.5503876;2.4144871;3.0947776;1.7241379;1.6835017;2.1472392;2.7624311;2.2913256;4.180602;3.0405405;5.076143;4.88189;5.3731346
World;OWID_WRL;1990;35.78884;36.26115;36.13044;37.050396;36.604237;37.07818;36.84991;36.278072;35.81597;35.66371;35.814354;35.33717;34.75267;33.571587;33.989483;33.534058;33.25126;32.012924;32.771805;33.183754;32.793915;32.182858;32.089783;32.63467;33.161877;33.867153;34.549126;35.173218;35.60828;36.910015;38.4769
Pakistan;PAK;1990;38.067287;37.24194;38.258846;39.184853;38.17944;36.499046;37.18536;30.24496;36.901546;33.053123;28.659306;31.256355;34.166206;37.816208;34.841015;37.85563;37.334324;35.073807;34.66317;34.35603;37.218163;35.02056;36.666668;35.890594;36.38905;36.636395;33.222805;30.779753;37.133667;36.455193;38.230564
Panama;PAN;2000;;;;;;;;;;;71.428566;50.809715;66.01942;52.690166;67.32143;65.60847;61.092148;58.06962;63.94231;58.16024;58.741253;54.761906;64.832535;59.976933;62.155685;71.5508;72.4;74.31797;82.14285;60.057747;75.56561
Peru;PER;1990;76.80331;80.27206;74.8514;80.416;81.09164;77.48533;77.90021;74.46556;74.98883;77.063034;82.241554;85.60235;83.04771;81.992;73.333336;71.23125;73.43808;66.78105;59.77514;62.203983;58.722286;58.266666;56.46967;54.861942;53.048077;53.75135;52.05617;58.787647;60.863205;60.827293;63.839455
Philippines;PHL;1990;45.42014;42.50848;39.195976;40.24606;39.99475;36.857006;36.95208;33.43468;33.62355;44.49218;44.365555;38.699688;37.024296;34.8135;35.079216;33.677803;37.405983;32.930458;35.25982;34.130726;28.052551;29.06119;28.896818;26.82084;26.122978;26.198277;24.642149;24.740412;23.782322;21.47436;22.648321
Papua New Guinea;PNG;2000;;;;;;;;;;;45.971565;38.61004;36.231884;34.516132;32.704403;38.43844;38.46154;40.119762;40.85366;39.402985;38.938053;40.226627;39.61219;38.481674;37.06468;35.66265;34.660423;29.812204;28.863636;28.828829;27.586208
Poland;POL;1990;1.108301;1.130199;1.2395746;1.1762028;1.3354341;1.430135;1.4590268;1.5112815;1.7972579;1.671548;1.6273223;1.9343168;1.943996;1.4999001;2.1016684;2.48307;2.6737301;3.4256516;4.274444;5.7515388;6.9299364;8.054721;10.443604;10.408151;12.533148;13.815148;13.733519;14.1999655;12.755915;15.615801;17.964872
Puerto Rico;PRI;2000;;;;;;;;;;;0.68775797;0.58295965;0.47475183;0.41788548;0.58019066;0.56089747;0.58749473;0.7174888;0.7648184;0.821256;0.76555026;0.74925077;0.5660377;1.4153246;1.7140058;1.8618325;1.8606871;2.2168963;1.4125956;2.6651216;2.7421238
North Korea;PRK;2000;;;;;;;;;;;53.86667;53.7673;54.968616;57.086617;58.149364;58.584946;57.504604;62.918663;61.856125;60.419716;63.07034;69.781105;71.253334;76.74289;73.64208;73.84501;76.57005;80.69815;83.75165;82.0551;84.844475
Portugal;PRT;1990;34.6982;33.109016;18.541033;30.42917;37.12097;28.295624;45.858765;41.681313;36.365974;20.088558;29.668049;34.091404;21.314346;38.048153;27.465418;17.864876;32.365658;34.57027;32.189976;36.96443;52.80313;46.47263;42.50604;58.32179;60.758278;47.53267;54.6254;39.13345;50.350967;52.986664;58.420643
Paraguay;PRY;2000;;;;;;;;;;;99.98112;99.977715;99.97905;99.96099;100;100;100;100;100;100;100;100;100;99.933235;99.9271;99.92772;100;100;100;99.857315;99.849464
Palestine;PSE;2001;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0833335;7.8431373;9.615385;15;15.584416;22.5
French Polynesia;PYF;2000;;;;;;;;;;;30.769232;21.276596;25;26.315792;29.508196;29.999998;31.746033;33.333332;30.882353;30;43.54839;35.384617;32.8125;28.81356;34.48276;34.48276;36.206898;36.666664;34.48276;32.35294;33.333332
Qatar;QAT;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03462604;0.030571692;0.030618494;0.05482456;0.07664793;0.07516913;0.06981615;0.044267375;0.06381621;0.04479283
Romania;ROU;1990;17.744946;25.68662;21.662655;23.067196;23.71003;28.264183;28.100935;40.409027;45.66899;46.542503;39.255234;38.03922;39.61779;33.13275;39.05116;43.376537;38.261562;38.45655;43.80293;47.289104;52.664577;45.274193;44.91324;54.261314;59.51833;57.38775;59.235176;55.981236;58.302296;60.679283;64.86876
Russia;RUS;1990;26.357018;26.975536;28.983389;30.685658;31.259577;32.07413;31.090336;31.88816;31.707846;33.374577;34.394764;35.513443;35.0333;34.255325;35.444523;34.505054;33.842663;33.92478;32.26052;34.871525;33.243843;32.90909;32.83041;34.191555;34.26673;34.83473;35.792404;36.32682;35.773537;36.93093;41.390167
Rwanda;RWA;2000;;;;;;;;;;;100;99.99999;100;100;88.888885;60;25;26.666666;38.888885;41.666668;40.740738;41.935482;41.17647;39.473686;44.68085;51.724144;46.268654;47.368423;43.023254;46.078434;64.83516
Saudi Arabia;SAU;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003998721;0.011041184;0.014081532;0.016032835;0.01477585;0.014817889;0.019753365;0.047781166;0.062602475;0.062124662
Sudan;SDN;2000;;;;;;;;;;;52.325584;51.23675;48.54369;39.93994;36.416183;37.36842;34.977577;33.603237;30.370369;52.180683;82.666664;77.326965;72.88317;82.20919;80.21295;68.09672;60.283688;64.19186;63.39623;63.33538;65.513054
Senegal;SEN;2000;;;;;;;;;;;3.472222;2.9761906;13.407822;20;17.085426;14.159292;12.719298;9.756098;10.810811;10.943396;14.184398;13.636364;14.240506;14.242424;13.461538;13.624678;11.750599;12.946428;14.989293;13.926498;19.120459
Singapore;SGP;1990;0.54425776;1.4762061;1.3965604;1.2920306;1.1849831;1.1107384;1.0247016;0.9172801;0.86344224;0.8299458;0;0;0;0;0;0;0;0;0;0;0;0.022899017;0.022461815;0.35041612;0.59625214;0.85666525;1.0792098;1.1064173;1.3256826;1.5075376;1.63161
Solomon Islands;SLB;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sierra Leone;SLE;2000;;;;;;;;;;;12.5;7.692308;13.333333;14.285714;16.666668;25;0;33.333336;33.333336;33.333336;75;88.2353;66.666664;66.666664;78.94737;73.68421;72.72727;73.91304;76.92308;90.4762;90.4762
El Salvador;SLV;2000;;;;;;;;;;;54.42359;61.477573;60.453403;65.80796;62.903225;65.180466;62.32143;61.36364;65.27546;59.31624;66.49917;67.651886;66.773155;65.70973;66.34615;59.400997;61.12957;71.76685;74.10882;69.28214;79.39297
Somalia;SOM;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.9411764;5.714286;5.714286;5.714286;7.894737
Saint Pierre and Miquelon;SPM;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Serbia;SRB;1990;19.219912;25.404833;26.7269;26.90254;28.942245;30.764448;35.530792;29.838024;29.293217;36.133636;30.735523;30.36537;29.873644;25.510801;28.556065;31.818182;28.854197;26.299694;25.964151;27.950146;31.774454;22.803787;25.697708;26.05149;32.98445;26.895449;28.127428;25.493963;29.724571;28.513292;27.42412
South Sudan;SSD;2012;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1.7857143;1.7857143;1.8518518
Sao Tome and Principe;STP;2000;;;;;;;;;;;33.333336;0;33.333336;33.333336;25;0;25;25;20;20;0;16.666668;16.666668;14.285714;12.5;12.5;11.111111;11.111111;11.111111;11.111111;10
Suriname;SUR;2000;;;;;;;;;;;50.714287;51.40845;51.748253;52.083332;52.41379;53.94737;55.12821;55.12821;55.12821;55.12821;71.42858;54.497356;43.386242;43.229168;28.645834;25.128204;41.666668;49.468086;52.910053;49.230766;51.041668
Slovakia;SVK;1990;54.60965;53.998352;55.895008;62.203743;66.58815;61.748013;60.801258;60.423317;60.86281;62.575596;68.551;69.682686;72.62275;69.25065;69.49097;71.506065;73.11759;72.79914;74.03411;73.38741;74.835884;72.350235;74.22096;77.63713;80.39941;79.879425;80.20989;79.22316;77.71923;77.79354;78.18309
Slovenia;SVN;1990;60.852093;67.18995;59.88655;58.577408;62.141193;62.24807;63.754787;61.53262;61.880466;63.876312;63.629684;63.052486;61.232872;59.942154;63.326782;62.541367;61.21774;60.37234;64.472885;64.91763;64.02214;63.442215;63.408356;65.88608;75.62682;67.567566;66.42021;66.853584;68.23821;68.34487;70.633514
Sweden;SWE;1990;97.70517;96.5299;95.87474;95.18794;94.29573;94.739685;91.223946;95.14107;95.522385;95.54379;96.71556;96.18192;94.92842;93.17527;96.03138;96.994385;96.34282;97.02996;96.93129;96.61786;94.25396;96.19377;97.54251;97.46455;98.09183;98.055565;97.65219;97.88711;97.75955;98.010925;98.5103
Eswatini;SWZ;2000;;;;;;;;;;;90.16393;90.47619;90.769226;89.28571;88.67925;90;90;90.47619;90;90.47619;90.625;95.77465;94.5946;95.06173;93.84616;92.72727;92.85714;94.02985;94.666664;94.3662;94.5946
Seychelles;SYC;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4390244;2.3809524;2.2727273;2.1276596;2.0833335;2.0408163;7.54717;11.666666
Syria;SYR;2000;;;;;;;;;;;13.472803;13.428121;9.286523;9.87831;13.684211;13.025083;11.167801;9.501643;7.4083633;4.6044574;5.9374285;8.2933;9.710495;12.5210085;11.592039;2.4764152;5.413271;4.372843;4.4340725;4.5783134;4.8101263
Turks and Caicos Islands;TCA;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chad;TCD;2000;;;;;;;;;;;11.111111;10;10;9.090909;8.333334;8.333334;7.692308;0;0;5.5555553;5.263158;5.263158;0;0;0;0;3.448276;3.3333333;3.3333333;3.2258065;3.448276
Togo;TGO;2000;;;;;;;;;;;58.82353;41.666668;59.999996;70.588234;44.444443;38.888885;42.857143;49.999996;75;78.57143;52.941177;83.333336;81.818184;40;60;16.216215;46.511627;27.272728;36.842106;35.714287;25.862072
Thailand;THA;1990;11.164903;9.048247;7.329365;5.750053;6.2647166;8.447449;8.531997;7.938052;6.0294333;4.2754407;7.126103;7.061527;7.944477;7.6718354;6.516355;6.0325203;7.598855;7.708585;6.562546;6.626331;5.708583;8.039962;8.539612;7.6765037;8.395728;7.994962;8.984024;10.957095;14.190005;14.700173;13.796373
Tajikistan;TJK;2000;;;;;;;;;;;98.497856;98.80534;99.14134;99.02021;99.14216;99.29077;98.62769;97.80601;97.939964;98.62155;99.815605;99.75125;99.583336;99.76387;99.06191;99.11661;96.71168;94.85458;93.48049;93.10345;91.789154
Turkmenistan;TKM;1990;0.020533882;0.020062193;0.031859696;0.03956698;0.038022812;0.040383648;0.04935834;0.052642662;0.06372133;0.05643341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
East Timor;TLS;2003;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tonga;TON;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.666668;14.285714;14.285714;14.285714
Trinidad and Tobago;TTO;1990;0.866648;0.672043;0.75452715;0.73356044;0.78643405;0.7661945;0.3743669;0.36086607;0.34822983;0.34305316;0.5836576;0.5660377;0.5660377;0.49586776;0.49668875;0.60240966;0.5925926;0.41551247;0;0;0;0;0;0;0;0.11098779;0.11286682;0.11402508;0.11520737;0.11574074;0.12180268
Tunisia;TUN;2000;;;;;;;;;;;0.8032128;0.6535948;0.80862534;1.6281062;1.5459723;1.387818;0.9789157;0.6965944;0.5181347;1.2543553;1.270903;1.0437051;1.904762;2.5761125;3.303471;3.1607628;3.4072473;3.1298907;3.2786884;3.9902678;4.3411646
Turkey;TUR;1990;40.371914;37.848606;39.628803;46.18616;39.21869;41.56522;42.936962;38.9061;38.33198;29.98111;25.062334;19.919796;26.444479;25.487387;30.926939;24.599195;25.271046;19.048117;17.356663;19.59123;26.400076;25.335835;27.241205;28.857298;20.912487;32.014236;32.97161;29.43022;32.176003;43.680435;42.02082
Taiwan;TWN;1990;43.74899;39.713573;38.531418;33.58826;32.24541;30.453669;30.29013;27.936436;26.75707;25.917267;24.434965;22.725794;22.514725;21.310917;20.7384;20.566013;19.90329;19.775074;20.252087;21.116697;19.967213;19.866009;20.0097;20.422253;19.727467;17.745287;16.375277;12.422733;14.168138;16.890545;16.195225
Tanzania;TZA;2000;;;;;;;;;;;93.00411;97.05882;96.441284;96.94657;86.26761;62.09913;55.589127;69.95074;69.95305;65.66524;63.68932;49.500996;42.23035;38.82149;51.151318;43.75;45.193687;45.078457;38.642662;40.447956;46.3171
Uganda;UGA;2000;;;;;;;;;;;97.484276;97.484276;97.66082;97.22222;97.422676;94.35897;74.522285;71.5736;73.27586;62.916664;59.107807;61.685825;80.61224;94.5946;89.67972;89.89548;92.30769;93.35038;92.80743;97.92147;97.07866
Ukraine;UKR;1990;29.030207;31.184689;32.351772;37.560402;39.939823;41.5179;48.25492;50.213696;52.69621;50.24427;51.742863;51.050285;50.492596;50.321865;54.279747;54.413425;53.376804;52.51861;52.788452;54.74024;54.305687;52.038986;51.104053;50.756283;54.159798;58.605545;55.384995;62.466003;61.568604;62.144634;63.240257
Uruguay;URY;2000;;;;;;;;;;;93.45795;99.344986;99.26392;99.06213;82.52595;88.09524;65.81353;89.547424;64.629845;69.090904;84.40617;73.384766;63.713478;82.18341;87.23735;85.9662;90.25455;90.73684;90.62069;88.224304;82.27474
United States;USA;1990;29.700468;30.456318;29.56135;29.139286;29.02471;30.472076;30.748165;29.259083;28.539993;29.336617;29.05815;28.138706;29.040926;28.765244;28.686348;28.129686;28.870703;27.865068;28.808554;30.823996;29.93359;31.792154;31.223783;32.28614;32.81242;33.14577;34.998875;37.315506;36.659092;37.75918;39.8518
Uzbekistan;UZB;1990;11.802929;11.134497;12.337216;14.970803;14.970713;13.040273;14.366235;12.54397;12.5446615;12.545182;13.128806;13.125695;13.11335;16.107668;18.818565;18.820522;10.592255;10.334005;11.044776;14.394619;16.46032;11.315842;13.140578;10.945371;11.402011;12.832264;12.946428;14.381675;9.8435135;10.7636;8.956025
Saint Vincent and the Grenadines;VCT;2000;;;;;;;;;;;33.333332;20;20;20;25;23.076923;16.666668;15.384616;15.384616;15.384616;21.428572;21.428572;21.428572;15.384616;7.692308;14.285714;13.333333;14.285714;14.285714;14.285714;26.666666
Venezuela;VEN;1990;62.343864;70.3254;70.093414;68.429855;72.00685;70.05147;71.2375;73.358444;71.59473;75.2001;74.723694;68.212906;68.020775;67.133415;72.1027;75.41177;74.865616;73.52468;73.812996;72.92203;68.61967;71.98227;68.55118;68.977005;63.51769;62.29027;59.6389;59.885387;59.884857;59.89163;66.43676
British Virgin Islands;VGB;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
United States Virgin Islands;VIR;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4285715;1.4492754;1.4705882;1.8867925;1.6393442;1.6129032;1.5625
Vietnam;VNM;1990;61.847717;68.58849;74.47707;74.70456;75.21973;72.24194;70.868744;60.92933;51.157322;58.46598;54.781628;59.490356;50.837994;46.396286;38.571426;31.835636;34.145077;35.09975;36.68781;37.264385;31.203663;40.577282;46.391663;46.56918;44.106194;36.359608;36.671406;45.949894;40.733303;31.940903;36.29567
Vanuatu;VUT;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;16.666668;16.666668;28.571428;28.571428;28.571428;28.571428;16.666668;28.571428;28.571428;28.571428
Samoa;WSM;2000;;;;;;;;;;;50;54.545456;58.333336;54.545456;54.545456;54.545456;45.454544;45.454544;45.454544;45.454544;45.454544;41.666668;36.363636;27.272728;25;30.769232;35.714287;35.714287;40;40;37.5
Yemen;YEM;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1388889;2.023609;3.539823;4.973822;14.545455;14.076246;15.170279
South Africa;ZAF;1990;5.656418;6.608998;5.972991;4.23626;5.9282293;6.3378963;6.5739756;7.0758977;7.5116615;6.7779245;7.5329566;6.706014;7.269512;6.3462243;6.8392916;6.103307;5.642434;5.6318626;5.9859595;5.798791;6.342086;6.311096;5.836447;6.3854766;7.668245;7.3553505;9.703801;10.563262;9.610598;11.15706;11.015995
Zambia;ZMB;2000;;;;;;;;;;;99.09794;99.11392;99.013565;99.03147;99.172585;99.0991;99.171844;99.37499;99.57851;99.49291;99.51969;99.563324;99.51299;99.62208;97.562675;97.30539;94.4062;87.53463;86.11284;86.0259;86.75497
