Code;Entity;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;
CHN;China;6880.6626;7122.351;7411.3945;7908.6753;8323.468;8498.712;8880.126;8871.482;8822.785;9069.433;9334.936;9797.812;10602.087;12273.32;14272.745;16114.158;17552.816;18955.008;19560.7;20281.068;21551.547;23090.885;23873.234;24600.36;25072.023;25209.49;25164.803;25987.611;27109.42;28277.445;29133.936;;;
CHN Total;;6880.6626;7122.351;7411.3945;7908.6753;8323.468;8498.712;8880.126;8871.482;8822.785;9069.433;9334.936;9797.812;10602.087;12273.32;14272.745;16114.158;17552.816;18955.008;19560.7;20281.068;21551.547;23090.885;23873.234;24600.36;25072.023;25209.49;25164.803;25987.611;27109.42;28277.445;29133.936;;;
CIV;Cote d'Ivoire;1906.4135;1552.1063;1451.9905;1573.744;1566.4491;1649.6793;1852.8447;1826.5453;1782.8949;2235.8508;2188.067;2111.73;2001.7079;1761.555;1840.8789;1998.9595;1668.9751;1748.4128;1882.8339;1799.5533;1801.9209;1642.3796;1962.973;2129.4614;2198.2737;2129.5317;2356.6304;2288.7317;2235.9863;2360.1208;2282.348;;;
CIV Total;;1906.4135;1552.1063;1451.9905;1573.744;1566.4491;1649.6793;1852.8447;1826.5453;1782.8949;2235.8508;2188.067;2111.73;2001.7079;1761.555;1840.8789;1998.9595;1668.9751;1748.4128;1882.8339;1799.5533;1801.9209;1642.3796;1962.973;2129.4614;2198.2737;2129.5317;2356.6304;2288.7317;2235.9863;2360.1208;2282.348;;;
CMR;Cameroon;1992.55;1951.4609;1903.3473;1635.6674;1696.9604;1690.0479;1637.8937;1675.2683;1631.682;1557.3041;1575.576;1529.8099;1467.4718;1529.6643;1551.4;1456.8976;1606.5828;1647.3816;1625.477;1695.7526;1886.1508;1931.2103;1873.3829;1600.2953;1941.542;1888.3931;1785.7306;1763.4426;1746.7549;1720.2494;1758.1206;;;
CMR Total;;1992.55;1951.4609;1903.3473;1635.6674;1696.9604;1690.0479;1637.8937;1675.2683;1631.682;1557.3041;1575.576;1529.8099;1467.4718;1529.6643;1551.4;1456.8976;1606.5828;1647.3816;1625.477;1695.7526;1886.1508;1931.2103;1873.3829;1600.2953;1941.542;1888.3931;1785.7306;1763.4426;1746.7549;1720.2494;1758.1206;;;
COD;Democratic Republic of Congo;866.57385;778.16797;832.92316;775.91815;647.667;679.45386;682.0072;603.9926;556.12683;587.06055;438.73956;418.63083;417.3248;421.6945;463.92627;487.92645;498.6664;497.54398;456.02924;432.15683;462.69284;484.2046;460.75424;538.1601;622.8517;464.34442;413.59628;434.75296;444.56985;443.11774;443.81158;;;
COD Total;;866.57385;778.16797;832.92316;775.91815;647.667;679.45386;682.0072;603.9926;556.12683;587.06055;438.73956;418.63083;417.3248;421.6945;463.92627;487.92645;498.6664;497.54398;456.02924;432.15683;462.69284;484.2046;460.75424;538.1601;622.8517;464.34442;413.59628;434.75296;444.56985;443.11774;443.81158;;;
COG;Congo;2366.1453;2105.0857;1959.0256;1715.5283;1580.9585;1573.03;1628.3007;1556.0985;1419.1056;1156.2103;1227.4918;1451.1962;1311.9222;1459.1665;1496.1375;1950.9672;2240.8157;2657.6838;2926.5042;3411.898;4460.019;5186.757;5174.5054;6385.8984;5931.7676;5841.056;5449.973;3985.2053;3605.2744;2873.82;2379.556;;;
COG Total;;2366.1453;2105.0857;1959.0256;1715.5283;1580.9585;1573.03;1628.3007;1556.0985;1419.1056;1156.2103;1227.4918;1451.1962;1311.9222;1459.1665;1496.1375;1950.9672;2240.8157;2657.6838;2926.5042;3411.898;4460.019;5186.757;5174.5054;6385.8984;5931.7676;5841.056;5449.973;3985.2053;3605.2744;2873.82;2379.556;;;
COK;Cook Islands;10708.323;7285.417;10549.842;10459.976;10401.423;10356.9;10347.4;10446.15;10760.266;11130.868;17201.518;17050.652;9404.955;8645.277;14629.907;23369.021;24806.082;20515.166;20346.406;18107.172;20785.795;22592.518;23641.826;23739.312;25269.025;23834.23;25052.822;27209.463;28924.502;29246.834;27636.979;;;
COK Total;;10708.323;7285.417;10549.842;10459.976;10401.423;10356.9;10347.4;10446.15;10760.266;11130.868;17201.518;17050.652;9404.955;8645.277;14629.907;23369.021;24806.082;20515.166;20346.406;18107.172;20785.795;22592.518;23641.826;23739.312;25269.025;23834.23;25052.822;27209.463;28924.502;29246.834;27636.979;;;
COL;Colombia;7744.489;7789.251;7911.416;8441.098;8964.032;8999.828;9188.513;9175.434;9132.335;8367.868;8011.8125;7953.855;7834.471;7863.652;8152.3345;7917.907;9024.093;9058.002;9322.767;9111.861;9474.296;9794.911;10308.172;10490.081;10938.481;10259.04;11435.303;11368.834;11332.247;11221.787;10064.389;;;
COL Total;;7744.489;7789.251;7911.416;8441.098;8964.032;8999.828;9188.513;9175.434;9132.335;8367.868;8011.8125;7953.855;7834.471;7863.652;8152.3345;7917.907;9024.093;9058.002;9322.767;9111.861;9474.296;9794.911;10308.172;10490.081;10938.481;10259.04;11435.303;11368.834;11332.247;11221.787;10064.389;;;
COM;Comoros;618.34906;581.8266;569.0778;555.246;543.34015;531.4235;521.5357;509.2716;607.3668;595.3226;816.7021;835.32465;823.61163;1032.1368;1111.6262;1046.9846;1194.3715;773.59;772.8585;923.4804;1074.1965;944.7761;961.3801;1122.8319;981.591;1036.3783;1189.0542;1492.4838;1593.2856;1685.7296;1578.0629;;;
COM Total;;618.34906;581.8266;569.0778;555.246;543.34015;531.4235;521.5357;509.2716;607.3668;595.3226;816.7021;835.32465;823.61163;1032.1368;1111.6262;1046.9846;1194.3715;773.59;772.8585;923.4804;1074.1965;944.7761;961.3801;1122.8319;981.591;1036.3783;1189.0542;1492.4838;1593.2856;1685.7296;1578.0629;;;
CPV;Cape Verde;943.154;922.5036;1065.922;1052.1656;1220.7037;1167.6123;1286.9749;1254.6431;1234.1079;1208.4539;2981.49;3263.9941;3492.702;3421.961;3692.0017;5685.298;5967.698;6573.914;6589.2246;6177.154;6542.746;7692.8916;6820.0537;6636.519;7077.2563;6915.403;7142.143;7489.2803;7495.767;7383.928;6949.681;;;
CPV Total;;943.154;922.5036;1065.922;1052.1656;1220.7037;1167.6123;1286.9749;1254.6431;1234.1079;1208.4539;2981.49;3263.9941;3492.702;3421.961;3692.0017;5685.298;5967.698;6573.914;6589.2246;6177.154;6542.746;7692.8916;6820.0537;6636.519;7077.2563;6915.403;7142.143;7489.2803;7495.767;7383.928;6949.681;;;
CRI;Costa Rica;6896.66;7176.9844;8265.608;8771.873;8673.12;8610.148;8493.361;9324.7295;9361.015;10529.213;10699.309;10693.142;10944.455;10991.341;11161.785;11431.702;11759.994;12253.692;12241.504;11747.936;11786.667;11703.091;11673.354;11618.479;11726.931;12110.349;12301.996;12649.783;12802.764;13012.45;11486.324;;;
CRI Total;;6896.66;7176.9844;8265.608;8771.873;8673.12;8610.148;8493.361;9324.7295;9361.015;10529.213;10699.309;10693.142;10944.455;10991.341;11161.785;11431.702;11759.994;12253.692;12241.504;11747.936;11786.667;11703.091;11673.354;11618.479;11726.931;12110.349;12301.996;12649.783;12802.764;13012.45;11486.324;;;
CUB;Cuba;13711.038;12654.743;11187.328;10875.773;10947.53;11120.69;11429.737;12538.545;11889.271;10253.048;9883.993;9075.244;9158.403;9271.938;9365.984;9199.146;8954.739;9036.614;10330.99;10402.473;11812.895;10603.101;11529.463;11073.984;11257.336;11280.011;8800.3;9358.279;9819.157;9606.213;9007.181;;;
CUB Total;;13711.038;12654.743;11187.328;10875.773;10947.53;11120.69;11429.737;12538.545;11889.271;10253.048;9883.993;9075.244;9158.403;9271.938;9365.984;9199.146;8954.739;9036.614;10330.99;10402.473;11812.895;10603.101;11529.463;11073.984;11257.336;11280.011;8800.3;9358.279;9819.157;9606.213;9007.181;;;
CYM;Cayman Islands;46614.61;43926.918;42476.656;38432.383;42393.613;43503.664;41846.883;40113.99;38631.78;37270.918;52485.707;51350.027;51466.68;50467.51;46195.98;46092.508;45344.523;52593.047;52451.508;47302.73;46226.355;47423.246;42757.977;41230.707;40977.293;42380.68;40911.793;46465.98;42507.164;50531.71;41981.38;;;
CYM Total;;46614.61;43926.918;42476.656;38432.383;42393.613;43503.664;41846.883;40113.99;38631.78;37270.918;52485.707;51350.027;51466.68;50467.51;46195.98;46092.508;45344.523;52593.047;52451.508;47302.73;46226.355;47423.246;42757.977;41230.707;40977.293;42380.68;40911.793;46465.98;42507.164;50531.71;41981.38;;;
CYP;Cyprus;24444.53;24418.672;28128.943;28680.846;28103.857;29255.701;29094.268;28804.803;30007.21;31000.758;31912.982;31725.172;30732.92;32076.912;30655.473;33741.973;32604.191;32579.771;32822.43;31506.953;30146.273;29451.955;27326.793;24232.332;24039.48;24580.83;26494.055;26971.416;26633.77;26442.418;22852.852;;;
CYP Total;;24444.53;24418.672;28128.943;28680.846;28103.857;29255.701;29094.268;28804.803;30007.21;31000.758;31912.982;31725.172;30732.92;32076.912;30655.473;33741.973;32604.191;32579.771;32822.43;31506.953;30146.273;29451.955;27326.793;24232.332;24039.48;24580.83;26494.055;26971.416;26633.77;26442.418;22852.852;;;
CZE;Czechia;53075.812;48298.723;46841.38;46412.75;45199.21;47151.668;48847.99;46922.652;45623.383;43807.26;46362.195;47434.9;47543.316;50209.617;51439.855;50547.258;51379.383;50659.105;49488.312;47287.844;49083.73;47823.707;47515.48;46623.125;45633.582;44728.676;44110.195;46583.094;46420.684;45355.285;42025.31;;;
CZE Total;;53075.812;48298.723;46841.38;46412.75;45199.21;47151.668;48847.99;46922.652;45623.383;43807.26;46362.195;47434.9;47543.316;50209.617;51439.855;50547.258;51379.383;50659.105;49488.312;47287.844;49083.73;47823.707;47515.48;46623.125;45633.582;44728.676;44110.195;46583.094;46420.684;45355.285;42025.31;;;
DEU;Germany;52823.883;51259.91;49988.61;49538.95;48888.086;48996.98;50501.87;49771.383;49305.88;48598.668;48903.7;49841.387;49257.79;49300.902;49342.406;48793.566;50043.03;47958.13;48445.984;45436.277;47305.82;45571.504;46132.67;47361.547;45327.562;46066.887;46675.777;47112.9;45781.406;44467.746;41377.68;;;
DEU Total;;52823.883;51259.91;49988.61;49538.95;48888.086;48996.98;50501.87;49771.383;49305.88;48598.668;48903.7;49841.387;49257.79;49300.902;49342.406;48793.566;50043.03;47958.13;48445.984;45436.277;47305.82;45571.504;46132.67;47361.547;45327.562;46066.887;46675.777;47112.9;45781.406;44467.746;41377.68;;;
DJI;Djibouti;11923.405;10949.371;11181.304;11470.606;11550.45;11330.889;11097.016;10784.026;10362.8955;10010.687;4762.17;4599.132;4474.387;4541.9604;4353.0415;4054.5566;3716.954;3787.3547;4150.3564;3531.1523;3942.1558;2921.8823;3784.8132;3836.7073;4183.972;3626.9648;3409.7095;3036.1372;3133.4805;2848.7866;2701.7908;;;
DJI Total;;11923.405;10949.371;11181.304;11470.606;11550.45;11330.889;11097.016;10784.026;10362.8955;10010.687;4762.17;4599.132;4474.387;4541.9604;4353.0415;4054.5566;3716.954;3787.3547;4150.3564;3531.1523;3942.1558;2921.8823;3784.8132;3836.7073;4183.972;3626.9648;3409.7095;3036.1372;3133.4805;2848.7866;2701.7908;;;
DMA;Dominica;3778.6187;3799.0051;3801.5227;3788.9714;4829.25;5999.0825;6019.151;6048.0903;6362.287;6606.403;7741.9917;8312.158;7820.6606;8702.423;10289.641;9846.587;9808.0205;11844.8545;10663.4375;10826.458;11327.723;11478.59;11020.953;11020.252;11281.383;11610.774;12128.221;11274.687;11557.899;11049.87;10056.246;;;
DMA Total;;3778.6187;3799.0051;3801.5227;3788.9714;4829.25;5999.0825;6019.151;6048.0903;6362.287;6606.403;7741.9917;8312.158;7820.6606;8702.423;10289.641;9846.587;9808.0205;11844.8545;10663.4375;10826.458;11327.723;11478.59;11020.953;11020.252;11281.383;11610.774;12128.221;11274.687;11557.899;11049.87;10056.246;;;
DNK;Denmark;39256.695;45141.34;42148.24;44534.79;47576.793;46534.887;55153.883;49834.9;47875.4;46251.04;44286.535;44250.59;44017.223;47297.21;44621.56;41866.43;46091.766;43548.508;41183.277;38827.246;41063.633;38406.094;35563.973;36936.71;35394.48;34312.848;34666.89;34656.133;34042.258;33139.277;29380.422;;;
DNK Total;;39256.695;45141.34;42148.24;44534.79;47576.793;46534.887;55153.883;49834.9;47875.4;46251.04;44286.535;44250.59;44017.223;47297.21;44621.56;41866.43;46091.766;43548.508;41183.277;38827.246;41063.633;38406.094;35563.973;36936.71;35394.48;34312.848;34666.89;34656.133;34042.258;33139.277;29380.422;;;
DOM;Dominican Republic;5703.2974;5399.624;5658.3545;5201.967;5550.8477;5880.6113;6277.345;6527.224;6648.758;7435.3843;10094.044;9667.4;10064.789;9104.642;8357.8955;9065.088;8931.601;9066.198;8900.079;8679.013;8981.36;8723.768;9560.256;9002.167;8537.962;9354.642;9835.123;9591.366;10487.733;11098.332;9496.668;;;
DOM Total;;5703.2974;5399.624;5658.3545;5201.967;5550.8477;5880.6113;6277.345;6527.224;6648.758;7435.3843;10094.044;9667.4;10064.789;9104.642;8357.8955;9065.088;8931.601;9066.198;8900.079;8679.013;8981.36;8723.768;9560.256;9002.167;8537.962;9354.642;9835.123;9591.366;10487.733;11098.332;9496.668;;;
DZA;Algeria;12343.162;11942.152;11971.857;10893.888;10807.21;10996.016;10692.724;10105.151;10304.176;10262.746;9746.524;9961.64;10180.35;10510.461;10759.022;11113.723;11341.98;11759.701;12252.297;12753.12;12243.156;12710.541;13624.909;14130.735;15108.635;15616.311;15295.143;15164;15971.084;16259.053;14933.807;;;
DZA Total;;12343.162;11942.152;11971.857;10893.888;10807.21;10996.016;10692.724;10105.151;10304.176;10262.746;9746.524;9961.64;10180.35;10510.461;10759.022;11113.723;11341.98;11759.701;12252.297;12753.12;12243.156;12710.541;13624.909;14130.735;15108.635;15616.311;15295.143;15164;15971.084;16259.053;14933.807;;;
ECU;Ecuador;7749.599;8369.491;8152.6104;8284.632;8840.834;8201.073;9164.456;10028.598;9905.499;8880.938;8246.84;8211.651;7965.1455;8014.88;8426.991;8767.223;9114.504;9420.017;9883.912;9482.964;10353.473;10805.037;11233.192;11416.987;11816.219;11610.723;11399.546;11658.197;12100.159;12160.402;10374.727;;;
ECU Total;;7749.599;8369.491;8152.6104;8284.632;8840.834;8201.073;9164.456;10028.598;9905.499;8880.938;8246.84;8211.651;7965.1455;8014.88;8426.991;8767.223;9114.504;9420.017;9883.912;9482.964;10353.473;10805.037;11233.192;11416.987;11816.219;11610.723;11399.546;11658.197;12100.159;12160.402;10374.727;;;
EGY;Egypt;6839.5693;6763.7896;6544.951;6401.087;6582.588;6823.153;7035.391;7172.319;7309.517;7679.945;7965.8477;8143.846;8202.89;8503.993;8798.149;8844.943;9136.145;9542.583;9921.167;10077.901;10258.876;10516.576;10688.419;10368.022;9999.618;9943.54;10278.024;10471.6455;10286.719;9919.544;9153.989;;;
EGY Total;;6839.5693;6763.7896;6544.951;6401.087;6582.588;6823.153;7035.391;7172.319;7309.517;7679.945;7965.8477;8143.846;8202.89;8503.993;8798.149;8844.943;9136.145;9542.583;9921.167;10077.901;10258.876;10516.576;10688.419;10368.022;9999.618;9943.54;10278.024;10471.6455;10286.719;9919.544;9153.989;;;
ERI;Eritrea;;;;;1901.4633;2062.4426;2008.5446;2006.2135;2101.8425;2150.3865;1086.2354;1156.5769;1019.1684;1172.7673;1226.452;1197.5035;809.80237;818.4819;569.351;670.50433;654.88983;655.3532;686.76117;691.8338;716.5409;707.84283;715.03436;778.28644;876.1487;936.4785;881.5875;;;
ERI Total;;;;;;1901.4633;2062.4426;2008.5446;2006.2135;2101.8425;2150.3865;1086.2354;1156.5769;1019.1684;1172.7673;1226.452;1197.5035;809.80237;818.4819;569.351;670.50433;654.88983;655.3532;686.76117;691.8338;716.5409;707.84283;715.03436;778.28644;876.1487;936.4785;881.5875;;;
ESH;Western Sahara;4843.432;4692.0586;4567.228;4234.019;4121.3633;4472.2925;4250.851;4015.3677;3810.2827;3622.2454;3953.299;3766.2864;3594.0037;3434.971;3287.7466;3151.369;3022.4155;2901.2285;2790.3389;2686.3037;2586.2825;2489.957;2403.5256;2309.8936;2236.1448;2171.4944;2108.1973;2096.699;2044.8973;1996.5897;1868.086;;;
ESH Total;;4843.432;4692.0586;4567.228;4234.019;4121.3633;4472.2925;4250.851;4015.3677;3810.2827;3622.2454;3953.299;3766.2864;3594.0037;3434.971;3287.7466;3151.369;3022.4155;2901.2285;2790.3389;2686.3037;2586.2825;2489.957;2403.5256;2309.8936;2236.1448;2171.4944;2108.1973;2096.699;2044.8973;1996.5897;1868.086;;;
ESP;Spain;27481.55;28374.404;29567.898;28449.67;29646.164;30627.23;31666.996;33261.406;34707.64;35609.875;37495.703;39003.945;38938.438;40418.156;41185.832;40779.03;40681.79;40817.645;39067.87;35904.375;36714.2;35901.07;35681.477;34008.008;33478.24;33920.24;34212.625;34520.543;34986.293;33764.863;30391.29;;;
ESP Total;;27481.55;28374.404;29567.898;28449.67;29646.164;30627.23;31666.996;33261.406;34707.64;35609.875;37495.703;39003.945;38938.438;40418.156;41185.832;40779.03;40681.79;40817.645;39067.87;35904.375;36714.2;35901.07;35681.477;34008.008;33478.24;33920.24;34212.625;34520.543;34986.293;33764.863;30391.29;;;
EST;Estonia;81220.125;74559.61;52836.098;44924.79;46444;42790.965;46012.348;45746.02;41335.85;38287.996;39722.04;41673.484;41766.36;45834.83;47047.777;47588.28;47286.48;55017.598;50750.434;43997.6;54935.6;54965.695;55555.875;58773.523;56413.82;52196.047;53774.246;59568.55;58899.945;47295.336;44218.28;;;
EST Total;;81220.125;74559.61;52836.098;44924.79;46444;42790.965;46012.348;45746.02;41335.85;38287.996;39722.04;41673.484;41766.36;45834.83;47047.777;47588.28;47286.48;55017.598;50750.434;43997.6;54935.6;54965.695;55555.875;58773.523;56413.82;52196.047;53774.246;59568.55;58899.945;47295.336;44218.28;;;
ETH;Ethiopia;323.2458;268.69614;347.05014;321.068;232.596;241.47762;196.35892;191.77347;241.90504;278.33304;287.99124;304.5467;303.84665;319.22073;331.65744;370.1885;394.91357;424.85315;432.32028;434.64044;468.26212;514.24506;557.1035;632.63324;697.6292;715.42474;807.2398;794.97723;823.5834;921.99115;860.0999;;;
ETH Total;;323.2458;268.69614;347.05014;321.068;232.596;241.47762;196.35892;191.77347;241.90504;278.33304;287.99124;304.5467;303.84665;319.22073;331.65744;370.1885;394.91357;424.85315;432.32028;434.64044;468.26212;514.24506;557.1035;632.63324;697.6292;715.42474;807.2398;794.97723;823.5834;921.99115;860.0999;;;
FIN;Finland;64824.15;65968.766;65384.23;65627.88;68597.11;65139.227;67804.484;68557.32;70678.375;69141.266;69377;70719.58;70908.92;75758.37;75218.67;68155.33;72824.555;72265.94;69352.664;63925.77;69228.28;64942.777;62886.45;62843.996;60391.24;60022.977;60795.297;59405.816;60528.164;59219.418;56636.78;;;
FIN Total;;64824.15;65968.766;65384.23;65627.88;68597.11;65139.227;67804.484;68557.32;70678.375;69141.266;69377;70719.58;70908.92;75758.37;75218.67;68155.33;72824.555;72265.94;69352.664;63925.77;69228.28;64942.777;62886.45;62843.996;60391.24;60022.977;60795.297;59405.816;60528.164;59219.418;56636.78;;;
FJI;Fiji;6955.363;6044.7407;6232.05;6535.412;6704.402;7198.563;7333.452;7237.7866;6945.0215;7455.925;9308.956;9574.995;8027.728;8717.398;11433.929;9695.102;10524.99;10062.741;7890.7285;6803.4795;9167.494;7085.0757;7121.2935;7502.866;7886.4253;8231.743;8094.5083;8787.309;9316.589;9417.632;9030.606;;;
FJI Total;;6955.363;6044.7407;6232.05;6535.412;6704.402;7198.563;7333.452;7237.7866;6945.0215;7455.925;9308.956;9574.995;8027.728;8717.398;11433.929;9695.102;10524.99;10062.741;7890.7285;6803.4795;9167.494;7085.0757;7121.2935;7502.866;7886.4253;8231.743;8094.5083;8787.309;9316.589;9417.632;9030.606;;;
FLK;Falkland Islands;26481.332;25995.234;25224.582;24283.156;23398.639;45185.336;26588.848;47351.46;25320.32;24746.664;37317.547;40808.36;44560.195;48378.156;52046.82;51820.35;59523.406;59577.652;61264.89;61342.887;59130.36;58597.516;60204.473;58919.254;57671.355;57968.594;59029.152;55306.21;56424.56;55487.547;46956.242;;;
FLK Total;;26481.332;25995.234;25224.582;24283.156;23398.639;45185.336;26588.848;47351.46;25320.32;24746.664;37317.547;40808.36;44560.195;48378.156;52046.82;51820.35;59523.406;59577.652;61264.89;61342.887;59130.36;58597.516;60204.473;58919.254;57671.355;57968.594;59029.152;55306.21;56424.56;55487.547;46956.242;;;
FRA;France;47114.285;49874.69;50099.133;49941.85;49172.934;50173.4;51854.156;50958.53;51909.617;52580.84;52966.594;53298.86;52433.27;52657.883;52754.13;52097.117;51332.477;50095.92;49932.984;46864.53;48006.33;45914.77;45681.15;45921.207;43808.914;43929.527;43053.95;42633.387;43334.203;42326.785;38063.406;;;
FRA Total;;47114.285;49874.69;50099.133;49941.85;49172.934;50173.4;51854.156;50958.53;51909.617;52580.84;52966.594;53298.86;52433.27;52657.883;52754.13;52097.117;51332.477;50095.92;49932.984;46864.53;48006.33;45914.77;45681.15;45921.207;43808.914;43929.527;43053.95;42633.387;43334.203;42326.785;38063.406;;;
FRO;Faroe Islands;61327.21;57409.453;58864.855;58656.34;61492.637;66344.984;65822.85;65440.39;64988.54;64048.57;70296.21;76419.41;73905.16;72738.66;73795.48;71850.984;71134.164;74061.555;68445.32;63500.5;65953.414;63076.344;64413.23;70091.234;65730.33;69815.625;68590.72;76055.42;77010.266;74932.95;68466.914;;;
FRO Total;;61327.21;57409.453;58864.855;58656.34;61492.637;66344.984;65822.85;65440.39;64988.54;64048.57;70296.21;76419.41;73905.16;72738.66;73795.48;71850.984;71134.164;74061.555;68445.32;63500.5;65953.414;63076.344;64413.23;70091.234;65730.33;69815.625;68590.72;76055.42;77010.266;74932.95;68466.914;;;
FSM;Micronesia (country);0;0;0;0;0;0;0;0;0;0;4708.033;5337.553;4962.9814;5361.374;5176.6465;4437.1504;4596.253;5161.648;4527.6533;6300.3887;4414.8276;5086.256;5645.0747;5924.762;6181.367;6471.856;6817.641;6857.2817;6882.2617;6471.663;6445.4224;;;
FSM Total;;0;0;0;0;0;0;0;0;0;0;4708.033;5337.553;4962.9814;5361.374;5176.6465;4437.1504;4596.253;5161.648;4527.6533;6300.3887;4414.8276;5086.256;5645.0747;5924.762;6181.367;6471.856;6817.641;6857.2817;6882.2617;6471.663;6445.4224;;;
GAB;Gabon;12861.861;12870.298;12873.189;11872.439;11872.551;10842.712;11023.358;11282.633;10745.112;12099.004;9016.453;9478.856;9233.193;8742.1875;8665.52;9015.141;8974.716;8646.734;8547.841;8182.456;9214.65;9102.298;11006.094;10740.267;10845.483;10108.493;9740.699;10052.3955;8795.324;7427.6616;8367.068;;;
GAB Total;;12861.861;12870.298;12873.189;11872.439;11872.551;10842.712;11023.358;11282.633;10745.112;12099.004;9016.453;9478.856;9233.193;8742.1875;8665.52;9015.141;8974.716;8646.734;8547.841;8182.456;9214.65;9102.298;11006.094;10740.267;10845.483;10108.493;9740.699;10052.3955;8795.324;7427.6616;8367.068;;;
GBR;United Kingdom;43845.027;44652.04;44259.45;44663.285;44021.51;44062.3;46080.582;45150.043;45378.082;45017.87;45275.645;45559.023;44332.9;44750.703;44856.6;44937.305;44057.82;42517.13;41451.902;39040.56;39540.008;37007.074;37292.91;36881.977;34583.77;34890.32;34296.684;34098.812;33771.496;32893.76;29425.54;;;
GBR Total;;43845.027;44652.04;44259.45;44663.285;44021.51;44062.3;46080.582;45150.043;45378.082;45017.87;45275.645;45559.023;44332.9;44750.703;44856.6;44937.305;44057.82;42517.13;41451.902;39040.56;39540.008;37007.074;37292.91;36881.977;34583.77;34890.32;34296.684;34098.812;33771.496;32893.76;29425.54;;;
GEO;Georgia;;;17979.797;11339.383;8967.001;9073.216;9773.224;10330.433;10741.93;10714.2;9423.704;8959.572;10776.443;9694.849;10085.432;11553.322;10517.187;13246.12;13342.63;13652.776;14789.647;13820.907;14376.836;16267.887;17044.346;18088.293;19119.283;19005.781;19383.402;19659.346;18696.85;;;
GEO Total;;;;17979.797;11339.383;8967.001;9073.216;9773.224;10330.433;10741.93;10714.2;9423.704;8959.572;10776.443;9694.849;10085.432;11553.322;10517.187;13246.12;13342.63;13652.776;14789.647;13820.907;14376.836;16267.887;17044.346;18088.293;19119.283;19005.781;19383.402;19659.346;18696.85;;;
GHA;Ghana;1900.3718;1924.9084;2042.323;1961.4252;1972.8364;1960.2162;2024.2659;1946.4543;1486.3427;1762.4387;2116.77;2073.1177;1846.1882;1645.2809;1892.3693;1893.7173;1794.2775;1649.7666;1899.8279;2130.4485;2141.837;2627.7834;2631.042;2698.5383;2673.1282;2847.0212;2814.9978;2757.9565;3112.291;3135.595;3484.1567;;;
GHA Total;;1900.3718;1924.9084;2042.323;1961.4252;1972.8364;1960.2162;2024.2659;1946.4543;1486.3427;1762.4387;2116.77;2073.1177;1846.1882;1645.2809;1892.3693;1893.7173;1794.2775;1649.7666;1899.8279;2130.4485;2141.837;2627.7834;2631.042;2698.5383;2673.1282;2847.0212;2814.9978;2757.9565;3112.291;3135.595;3484.1567;;;
GIN;Guinea;1006.10754;762.6441;761.11804;771.7889;757.45337;732.62555;715.67303;739.97815;741.9355;756.50024;933.22345;1009.3095;1035.3723;983.6432;1041.267;1031.7405;1027.6909;1066.2617;1051.0521;1076.7029;1202.3784;1194.9143;1131.1559;982.06683;990.09143;1171.2323;1285.7498;1261.2085;1122.0997;1201.7898;1356.6588;;;
GIN Total;;1006.10754;762.6441;761.11804;771.7889;757.45337;732.62555;715.67303;739.97815;741.9355;756.50024;933.22345;1009.3095;1035.3723;983.6432;1041.267;1031.7405;1027.6909;1066.2617;1051.0521;1076.7029;1202.3784;1194.9143;1131.1559;982.06683;990.09143;1171.2323;1285.7498;1261.2085;1122.0997;1201.7898;1356.6588;;;
GLP;Guadeloupe;15417.781;15822.82;14836.054;16721.52;17111.305;17399.232;17138.258;17383.408;17288.803;17258.416;20568.102;21598.848;22400.535;23487.152;23340.3;23387.596;24304.947;25231.457;23487.783;23222.686;24672.21;26967.006;0;0;0;0;0;0;0;0;0;;;
GLP Total;;15417.781;15822.82;14836.054;16721.52;17111.305;17399.232;17138.258;17383.408;17288.803;17258.416;20568.102;21598.848;22400.535;23487.152;23340.3;23387.596;24304.947;25231.457;23487.783;23222.686;24672.21;26967.006;0;0;0;0;0;0;0;0;0;;;
GMB;Gambia;756.9071;723.49194;697.3728;724.32776;808.83466;726.5057;707.44977;685.2196;710.1388;689.6454;880.39734;931.84937;901.8342;876.4806;898.55994;881.66327;929.5181;934.9129;941.5169;980.54083;1036.8582;1056.7408;998.79663;964.19214;1034.7433;1028.8588;1008.46924;998.2301;978.7463;972.6679;905.3456;;;
GMB Total;;756.9071;723.49194;697.3728;724.32776;808.83466;726.5057;707.44977;685.2196;710.1388;689.6454;880.39734;931.84937;901.8342;876.4806;898.55994;881.66327;929.5181;934.9129;941.5169;980.54083;1036.8582;1056.7408;998.79663;964.19214;1034.7433;1028.8588;1008.46924;998.2301;978.7463;972.6679;905.3456;;;
GNB;Guinea-Bissau;1161.9926;1138.2538;1174.8467;1246.0208;1208.4489;1178.5889;1108.1575;1132.739;1112.0535;1091.4033;809.8549;807.33746;806.6247;916.40906;926.11926;915.8147;913.9182;946.6117;898.46826;907.2298;907.236;896.62317;890.10126;886.97314;907.5775;914.8769;928.79553;733.6317;719.8099;703.1273;656.3425;;;
