Code;Entity;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;
ASM Total;;50297.26;49091.547;49407.883;47034.465;44839.875;42741.773;41988.812;42191.18;41423;40710.586;39429.848;39368.348;40120.08;40284.816;40500.73;43305.367;44364.8;44722.695;45240.664;45543.09;45970.54;26492.09;26916.025;27255.666;27663.885;28115.486;28760.44;29360.256;29987.857;30681.02;29946.838;;;
ATG;Antigua and Barbuda;27613.479;27384.174;27023.164;26470.938;27813.684;29078.92;28572.307;28780.83;28243.19;27767.398;28457.223;28025.29;29660.344;30824.252;31622.059;31734.295;32290.607;33375.836;33637.074;34709.18;33104.54;32616.084;33159.37;32853.875;33313;33830.76;34089.41;32233.041;33026.227;33027.516;27785.227;;;
ATG Total;;27613.479;27384.174;27023.164;26470.938;27813.684;29078.92;28572.307;28780.83;28243.19;27767.398;28457.223;28025.29;29660.344;30824.252;31622.059;31734.295;32290.607;33375.836;33637.074;34709.18;33104.54;32616.084;33159.37;32853.875;33313;33830.76;34089.41;32233.041;33026.227;33027.516;27785.227;;;
AUS;Australia;60597.098;59365.43;59681.504;60350.93;62085.63;64117.02;65239.766;66120.11;67001.016;69004.57;68632.96;68338.28;68892.78;69082.79;70486.32;69917.164;71863.76;72304.695;72089.34;69689.84;68523.875;69714.19;67583.03;67307.04;66744.195;67234.93;66407.09;65146.316;65072.668;66263.54;61826.21;;;
AUS Total;;60597.098;59365.43;59681.504;60350.93;62085.63;64117.02;65239.766;66120.11;67001.016;69004.57;68632.96;68338.28;68892.78;69082.79;70486.32;69917.164;71863.76;72304.695;72089.34;69689.84;68523.875;69714.19;67583.03;67307.04;66744.195;67234.93;66407.09;65146.316;65072.668;66263.54;61826.21;;;
AUT;Austria;43648.8;45323.574;44124.348;44543.016;44102.492;46183.117;46180.19;47102.305;47804.543;48808.664;48863.28;50421.105;50254.64;50523.203;51139.312;51714.72;50921.684;49669.195;50475.008;48765.184;50240.96;47200.484;49174.594;48493.574;46196.465;45686.785;46698.785;47423.047;46186.543;48314.258;45028.27;;;
AUT Total;;43648.8;45323.574;44124.348;44543.016;44102.492;46183.117;46180.19;47102.305;47804.543;48808.664;48863.28;50421.105;50254.64;50523.203;51139.312;51714.72;50921.684;49669.195;50475.008;48765.184;50240.96;47200.484;49174.594;48493.574;46196.465;45686.785;46698.785;47423.047;46186.543;48314.258;45028.27;;;
AZE;Azerbaijan;35077.656;33210.72;28049.744;24028.104;21844.428;20362.68;16573.02;15769.196;15749.731;15596.4;16123.289;15361.87;15003.191;16075.374;17986.783;19273.648;18724.746;17015.564;16933.111;14348.922;13958.922;15663.72;15936.576;16085.35;16145.47;17438.53;17089.488;16612.637;16897.24;17546.781;17803.629;;;
AZE Total;;35077.656;33210.72;28049.744;24028.104;21844.428;20362.68;16573.02;15769.196;15749.731;15596.4;16123.289;15361.87;15003.191;16075.374;17986.783;19273.648;18724.746;17015.564;16933.111;14348.922;13958.922;15663.72;15936.576;16085.35;16145.47;17438.53;17089.488;16612.637;16897.24;17546.781;17803.629;;;
BDI;Burundi;290.10657;320.63177;288.59033;334.3736;348.37958;316.6834;330.0235;330.46896;328.15482;315.766;261.95847;217.60869;200.19261;157.22882;174.65433;145.98683;163.21136;246.2004;155.42688;149.19579;199.67647;226.62114;205.98769;216.88063;196.12764;193.7544;208.42976;246.89967;290.7686;309.34055;289.06625;;;
BDI Total;;290.10657;320.63177;288.59033;334.3736;348.37958;316.6834;330.0235;330.46896;328.15482;315.766;261.95847;217.60869;200.19261;157.22882;174.65433;145.98683;163.21136;246.2004;155.42688;149.19579;199.67647;226.62114;205.98769;216.88063;196.12764;193.7544;208.42976;246.89967;290.7686;309.34055;289.06625;;;
BEL;Belgium;62387.53;64371.195;64045.54;62843.426;65934.66;66578.13;70519.13;71026.164;72177.8;71412.86;72420.41;71475.5;70828.99;73221.56;73126.234;71894.96;71647.29;71662.34;72317.91;66274;70300.14;65134.08;62090.016;63218.38;58234.56;58448.152;62694.066;62897.13;62384.855;64152.26;57433.73;;;
BEL Total;;62387.53;64371.195;64045.54;62843.426;65934.66;66578.13;70519.13;71026.164;72177.8;71412.86;72420.41;71475.5;70828.99;73221.56;73126.234;71894.96;71647.29;71662.34;72317.91;66274;70300.14;65134.08;62090.016;63218.38;58234.56;58448.152;62694.066;62897.13;62384.855;64152.26;57433.73;;;
BEN;Benin;498.0654;564.57263;608.3543;639.8307;644.8848;681.8462;725.445;762.2585;797.1201;379.54037;980.96387;1083.3461;1204.5461;1357.0039;1388.154;1262.3934;1672.0192;1918.3821;1904.8895;2054.215;2287.7693;2071.1877;1909.2642;1889.7343;1940.2653;2083.4993;2467.0088;2540.225;2736.8003;2416.162;2518.621;;;
BEN Total;;498.0654;564.57263;608.3543;639.8307;644.8848;681.8462;725.445;762.2585;797.1201;379.54037;980.96387;1083.3461;1204.5461;1357.0039;1388.154;1262.3934;1672.0192;1918.3821;1904.8895;2054.215;2287.7693;2071.1877;1909.2642;1889.7343;1940.2653;2083.4993;2467.0088;2540.225;2736.8003;2416.162;2518.621;;;
BFA;Burkina Faso;223.28703;251.87816;248.54262;269.01355;292.5326;291.54324;302.27756;465.06854;406.44928;406.48276;358.42392;386.41492;392.5639;421.1035;367.58755;378.25854;361.50507;496.80994;526.8172;480.64005;509.41;563.3461;644.37476;749.67834;677.6461;836.0298;780.0771;878.57794;950.3871;946.95734;878.9815;;;
BFA Total;;223.28703;251.87816;248.54262;269.01355;292.5326;291.54324;302.27756;465.06854;406.44928;406.48276;358.42392;386.41492;392.5639;421.1035;367.58755;378.25854;361.50507;496.80994;526.8172;480.64005;509.41;563.3461;644.37476;749.67834;677.6461;836.0298;780.0771;878.57794;950.3871;946.95734;878.9815;;;
BGD;Bangladesh;689.29553;652.2589;698.3831;753.2771;784.41504;909.2928;935.9809;966.00745;1009.7201;1001.8188;1053.6212;1181.6239;1163.1385;1208.1465;1261.467;1345.851;1438.764;1458.1193;1528.589;1660.9723;1685.9304;1806.3944;1938.1482;1991.1696;2040.6984;2440.7686;2415.728;2494.115;2630.0278;2916.3176;2730.078;;;
BGD Total;;689.29553;652.2589;698.3831;753.2771;784.41504;909.2928;935.9809;966.00745;1009.7201;1001.8188;1053.6212;1181.6239;1163.1385;1208.1465;1261.467;1345.851;1438.764;1458.1193;1528.589;1660.9723;1685.9304;1806.3944;1938.1482;1991.1696;2040.6984;2440.7686;2415.728;2494.115;2630.0278;2916.3176;2730.078;;;
BGR;Bulgaria;37083.684;30167.354;28558.896;30663.455;29718.602;32211.238;32375.387;30918.24;30036.193;26624.686;26859.672;27980.56;27344.377;28474.164;27716.521;30223.08;31003.193;30154.662;30008.596;26486.121;27862.668;29793.07;28532.125;26659.102;28695.912;30739.168;29411.8;30376.139;30743.955;29996.027;27993.87;;;
BGR Total;;37083.684;30167.354;28558.896;30663.455;29718.602;32211.238;32375.387;30918.24;30036.193;26624.686;26859.672;27980.56;27344.377;28474.164;27716.521;30223.08;31003.193;30154.662;30008.596;26486.121;27862.668;29793.07;28532.125;26659.102;28695.912;30739.168;29411.8;30376.139;30743.955;29996.027;27993.87;;;
BHR;Bahrain;145128.42;156980.11;127168.414;146765.97;139849.06;135597.83;131670.08;150403.06;153224.42;152743.7;157253.03;158559.69;165096.56;165859.02;160432.52;166315.33;164833.39;157924.5;154979.23;144448.34;141914.1;140596.47;149451.38;161365.53;153929.6;149472.8;144113.94;143466.25;142291.5;155398.47;156095.8;;;
